"group","lib.size","norm.factors","sample","directory","filename","batch","genotype","hours.pcs","rowCount","uniqueID","interval"
"WT_0H_DNA2",9544687,1,"WT_0H_DNA2_22","~/Documents/LEC_Time_Series_HTSeq_Counts","W_0_hr_1_S256_GeneCount.txt","DNA2","WT",0,55426,55426,"0H"
"WT_0H_DNA2",12337617,1,"WT_0H_DNA2_23","~/Documents/LEC_Time_Series_HTSeq_Counts","W_0_hr_2_S257_GeneCount.txt","DNA2","WT",0,55426,55426,"0H"
"WT_0H_DNA2",10751247,1,"WT_0H_DNA2_24","~/Documents/LEC_Time_Series_HTSeq_Counts","W_0_hr_3_S258_GeneCount.txt","DNA2","WT",0,55426,55426,"0H"
"WT_120H_DNA2",8524014,1,"WT_120H_DNA2_25","~/Documents/LEC_Time_Series_HTSeq_Counts","W_5_D_1_S259_GeneCount.txt","DNA2","WT",120,55426,55426,"120H"
"WT_120H_DNA2",10933536,1,"WT_120H_DNA2_26","~/Documents/LEC_Time_Series_HTSeq_Counts","7_S261_GeneCount.txt","DNA2","WT",120,55426,55426,"120H"
"WT_120H_DNA2",9714503,1,"WT_120H_DNA2_27","~/Documents/LEC_Time_Series_HTSeq_Counts","W_5_D_3_S260_GeneCount.txt","DNA2","WT",120,55426,55426,"120H"
"WT_0H_DNA1",21318621,1,"WT_0H_DNA1_28","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_0_hr_1_S1_GeneCount.txt","DNA1","WT",0,55426,55426,"0H"
"WT_0H_DNA1",24701039,1,"WT_0H_DNA1_29","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_0_hr_2_S2_GeneCount.txt","DNA1","WT",0,55426,55426,"0H"
"WT_0H_DNA1",20253239,1,"WT_0H_DNA1_30","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_0_hr_3_S3_GeneCount.txt","DNA1","WT",0,55426,55426,"0H"
"WT_6H_DNA1",18039974,1,"WT_6H_DNA1_31","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_6_hr_1_S4_GeneCount.txt","DNA1","WT",6,55426,55426,"6H"
"WT_6H_DNA1",22496116,1,"WT_6H_DNA1_32","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_6_hr_2_S5_GeneCount.txt","DNA1","WT",6,55426,55426,"6H"
"WT_6H_DNA1",18949474,1,"WT_6H_DNA1_33","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_6_hr_3_S15_GeneCount.txt","DNA1","WT",6,55426,55426,"6H"
"WT_24H_DNA1",22981784,1,"WT_24H_DNA1_34","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_24_hr_1_S6_GeneCount.txt","DNA1","WT",24,55426,55426,"24H"
"WT_24H_DNA1",26022511,1,"WT_24H_DNA1_35","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_24_hr_2_S7_GeneCount.txt","DNA1","WT",24,55426,55426,"24H"
"WT_24H_DNA1",23319496,1,"WT_24H_DNA1_36","~/Documents/LEC_Time_Series_HTSeq_Counts","WT_24_hr_3_S8_GeneCount.txt","DNA1","WT",24,55426,55426,"24H"
