Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a
1810011O10Rik	-	0	0	0	0.01	0	0.03	0	0	0	0	0.11	0	0.49	0	0.05	0.02	0.26	0.22	0.09	0.05	0.05	0.04	0.58	0.39	0.68	0.5	0.84
1810041L15Rik	-	0	0	0	0.15	0.12	0.73	0.13	0.27	0	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2010300C02Rik	-	0.43	0.98	0.3	0.06	0.05	0.14	0	0.82	0.72	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2200002D01Rik	-	0.13	0.56	0.35	0.07	0.62	0.88	0.11	0.02	0.06	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2610018G03Rik	-	0.12	0.01	0.03	0.83	0.18	0.99	0.33	0.13	0	0.01	0	0	0	0	0.99	0.71	0.74	0.26	0.86	0.59	0.65	0.74	0	0	0.38	0.01	0.1
2610034B18Rik	-	0.06	0	0	0	0	0	0.13	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2700099C18Rik	-	0.21	0.35	1	0.89	0.01	0.41	0.01	0.26	0.39	0.96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.07
2810001G20Rik	-	0.44	0.92	0.71	0	0	0	0	0.42	0.92	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2810013P06Rik	-	0.52	0.28	0.16	0.2	0.11	0.12	0.01	0.29	0.27	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2810408I11Rik	-	0.28	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2810417H13Rik	-	0.31	0.04	0	0	0	0	0	0	0	0	0.29	0	0.01	0.31	0.24	0.2	0.24	0.28	0.34	0.27	0.24	0.26	0	0.27	0	0	0
2810433D01Rik	-	0.03	0	0	0	0.01	0	0.01	0.18	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2900052N01Rik	-	0.69	0.71	0.54	0.49	0.57	0.04	0.3	0.01	0	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3010001F23Rik	-	0.31	0.68	0.96	0	0	0	0	0.01	0.01	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4632428N05Rik	-	0.03	0.71	0.17	0.66	0.04	0	0.15	0.32	0.68	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	0.19	0.73
4632434I11Rik	-	-	-	-	-	-	-	-	-	-	-	0.96	0.8	0.39	0.61	0.08	0.08	0.33	0.01	0.15	0.06	0.2	0	0.47	0.51	-	-	-
4831440E17Rik	-	0.37	0.49	0.14	0	0.05	0	0.06	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4930413G21Rik	-	0.9	0.16	0.83	0.13	0.34	0	0.76	0	0.28	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4930427A07Rik	-	0	0.05	0.26	0	0.18	0	0.1	0.04	0.05	0.07	0.24	0.08	0.55	0.3	0.02	0.04	0.03	0.03	0.02	0.03	0.02	0.01	0.01	0.01	0.94	0	0
4930444P10Rik	-	0.46	0.51	0	0	0.21	0.06	0.48	0.7	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4930503L19Rik	-	0.16	0.75	0.91	0.35	0.06	0.24	0.01	0	0	0	0	0	0.01	0.02	0.09	0.23	0.15	0.16	0.14	0.09	0.33	0.01	0	0.36	-	-	-
4930570G19Rik	-	0.94	0.84	0.96	0	0.01	0.05	0	0.35	0.33	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4930578M01Rik	-	0	0	0	0	0	0	0	0	0.05	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4930579G24Rik	-	0.13	0.03	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4932435O22Rik	-	0.92	0.54	0.68	0.09	0	0.01	0	0.12	0.04	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4933431E20Rik	-	0.31	0.17	0	0	0	0	0	0.09	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.57	0.11	0.01
5730559C18Rik	-	0.01	0.97	0.73	0.67	0.7	0.79	0.88	0.17	0.15	0.57	0	0.02	0.2	0.25	0.08	0.06	0.16	0.19	0.1	0.12	0.31	0.13	0.21	0.18	-	-	-
5830416P10Rik	-	0.92	0.69	0.63	0.13	0.11	0.35	0.34	0.11	0.05	0.62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6030419C18Rik	-	-	-	-	-	-	-	-	-	-	-	0.05	0.31	0.06	0.17	0.97	0.87	0.58	0.68	0.11	0.31	0.45	0.3	-	-	-	-	-
6330403A02Rik	-	0.01	0.7	0.01	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6430573F11Rik	-	0.04	0.01	0.14	0.05	0.55	0.73	0.57	0.79	0.35	0.02	0.33	0.43	0.28	0.2	0.8	0.71	0.52	0.43	0.11	0.32	0.81	0.08	-	-	-	-	-
9030404E10Rik	-	0.42	0.9	0.54	0.12	0.62	0.55	0.88	0.08	0.63	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9430020K01Rik	-	0	0	0	0	0	0	0	0	0	0.82	0.08	0.38	0.95	0.07	0.49	0.98	0.76	0.57	0	0.7	0.71	0.56	0	0.24	-	-	-
9630028B13Rik	-	-	-	-	-	-	-	-	-	-	-	0.55	0.5	0.12	0.39	0	0.08	0.04	0.02	0	0.02	0.19	0	-	-	-	-	-
A930005H10Rik	-	0.33	0.7	0.21	0	0.01	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AA415398	-	-	-	-	-	-	-	-	-	-	-	0.53	0.1	0.98	0.04	0	0	0	0	0	0.01	0	0.01	0.96	0.21	-	-	-
AA467197	-	0.91	0.96	0.88	0	0.01	0.04	0	0	0	0	0.32	0.38	0.63	0.35	0	0	0	0	0	0	0	0	-	-	-	-	-
AA986860	-	0.07	0	0.08	0	0	0	0	0.15	0	0	0.15	0.54	0.34	0.1	0.77	0.84	0.62	0.32	0.09	0.39	0.71	0.73	-	-	-	-	-
Aaas	-	0.04	0.01	0.15	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0
Aamdc	-	0.03	0.07	0.31	0	0.08	0.03	0.32	0.04	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	0.32	0.81
Aars	-	0.12	0.86	0.28	0.16	0.99	0	0	0	0	0.03	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0
Aass	-	0.34	0.54	0	0	0	0	0	0	0.64	1	0.08	0.12	0.01	0	0.47	0.45	0.89	0.83	0.74	0.56	0.77	0.97	0	0.01	0	0	0
Abat	-	0	0	0	0	0	0	0	0	0.75	0.64	0.02	0.22	0.42	0.23	0.81	0.45	0.57	0.76	0.01	0.76	0.31	0.29	0.01	0.05	0.67	0.5	0
Abca5	-	0	0	0	0	0	0	0	0	0	0	0.5	0.56	0.43	0.39	0.2	0.55	0.13	0.72	0	0.99	0.29	0.74	-	-	-	-	-
Abca8a	-	0.54	0.46	0.55	0.05	0.93	0.45	0.9	0.87	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Abca9	-	0	0	0.05	0.45	0.62	0.02	0.32	0.96	0.48	0.39	0.14	0.07	0.22	0.07	0.03	0.12	0.22	0.21	0.04	0.04	0.41	0.96	0.52	0.47	-	-	-
Abcb1b	-	0.58	0.69	0.71	0	0.03	0.01	0	0.08	0	0	0.06	0.34	0.55	0.21	0.05	0.18	0.4	0.08	0	0	0	0	-	-	0	0.04	0.68
Abcc1	-	0	0	0	0	0	0	0	0	0	0	0.15	0.12	0.05	0.05	0.12	0.32	0.27	0.06	0.16	0.02	0.36	0.25	-	-	0.03	0	0
Abhd14b	-	0.35	0.47	0.76	0.29	0	0	0	0	0	0	0.46	0.09	0.03	0.17	0.01	0.01	0	0	0	0	0	0.01	-	-	0	0	0
Abhd6	-	0.12	0	0	0.01	0	0.47	0	0	0	0	0.21	0.53	0.45	0.39	0.78	0.26	0.46	0.48	0.63	0.83	0.86	0.92	-	-	0	0.13	0.01
Abi3	-	-	-	-	-	-	-	-	-	-	-	0.01	0.1	0.53	0.92	0.06	0.18	0.09	0.12	0.08	0.19	0.09	0.41	-	-	-	-	-
Abi3bp	-	0	0	0	0.01	0	0	0	0.05	0	0	0.89	0.98	0.52	0.53	0.18	0.2	0.18	0.03	0	0.01	0	0	-	-	0	0	0
Acadsb	-	0.35	0.84	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0.6	0.34	0.64	0	0.53	0.31	0.39	0	0.03	0	0	0
Acap1	-	0.38	0.3	0.1	0.01	0.22	0.83	0.02	0.3	0	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Acat2	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0.93	0	0	0	0	0	0	0	0	0.67	0.63	-	-	-
Ace	-	0.36	0	0	0	0	0	0	0	0	0	0.75	0.29	0.32	0.17	0	0	0	0	0	0	0	0	-	-	0.08	0.02	0
Acot7	-	0.17	0.43	0.17	0	0	0	0	0	0.01	0	0.01	0.06	0.32	0.01	0.32	0.34	0.58	0.12	0.32	0.39	0.45	0.16	0	0.18	0.04	0.14	0.29
Acot9	-	0	0	0	0.85	0.32	0.52	0.17	0.02	0.22	0.13	0.08	0.05	0.27	0.1	0.95	0.73	0.71	0.32	0.92	0.5	0.7	0.01	0.14	0.27	0.53	0.66	0.42
Acp5	-	0	0.01	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Acsbg1	-	-	-	-	-	-	-	-	-	-	-	0.36	0.8	0.67	0.47	0.6	0.53	0.9	0.2	0.37	0.6	0.82	0.08	-	-	-	-	-
Acsl4	-	0.78	0.01	0	0.04	0	0	0	0	0	0	0	0	0	0.01	0.54	0.76	0.57	0.64	0.99	0.69	0.78	0.73	0.16	0	0	0	0
Acsl5	-	0.29	0.07	0	0	0	0	0	0	0	0	0	0.1	0	0.07	0	0.01	0	0	0.01	0	0.01	0.01	0.02	0	0.03	0.27	0.24
Acta2	-	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.09	0.01	0	0	0	0	0	0	0	0	0	0
Actb	-	0.69	0.03	0.01	0	0	0	0	0	0.05	0	0.66	0	0	0	0.14	0.22	0.25	0.17	0.41	0.35	0.47	0.02	0	0	0	0	0
Actg1	-	0.73	0.51	0.2	0	0	0.01	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Actn1	-	0.15	0.43	0.08	0.93	0.8	0.64	0.01	0	0	0.52	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0.06	0.07	0.07
Acvrl1	-	0.81	0.42	0.8	0.33	0.11	0.77	0.16	0.01	0.32	0.21	0.37	0.42	0.05	0.39	0.04	0.67	0.63	0.36	0.34	0.86	0.98	0.43	-	-	0.69	0.02	0.02
Ada	-	0	0.54	0.81	0	0	0	0	0	0	0	0.41	0.62	0	0.11	0.1	0.17	0.23	0.23	0.18	0.41	0.47	0.2	0.61	0.19	0	0	0
Adam11	-	0	0.16	0.09	0	0	0	0	0.51	0.13	0.05	0.28	0.09	0.04	0.1	0.03	0.29	0.2	0.23	0.15	0.27	0.56	0.65	0	0.31	0.09	0.15	0.01
Adam12	-	0	0	0	0	0	0	0	0.05	0	0	0.12	0.3	0.05	0	0	0.69	0.65	0.9	0.69	0.5	0.3	0.16	-	-	0	0	0
Adam15	-	0.02	0	0.01	0.1	0.7	0.15	0.8	0.27	0.33	0	0.24	0.13	0	0	0.84	0.94	0.93	0.93	0.97	0.91	0.96	0.95	-	-	0	0.01	0.02
Adam22	-	0.01	0.19	0.46	0	0	0	0	0	0	0	0.1	0.25	0.08	0.41	0.05	0.04	0.1	0.01	0.09	0.1	0.15	0	0.22	0.38	0	0.74	0.02
Adam8	-	0.2	0.14	0.04	0.49	0.1	0	0.57	0.04	0.35	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.45	0.9	0.45
Adamts1	-	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0.03	0	1	0.86	0.89	0.98	0.93	0.84	0.93	0.85	0.34	0.2	0	0	0
Adamts17	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0.55	0.52	0.47	0.64	0.49	0.81	0.73	0.97	-	-	-	-	-
Adamts18	-	0	0	0	0	0	0	0	0	0	0	0.72	0.14	0	0.18	0	0	0	0	0	0	0	0	0.16	0	-	-	-
Adamts7	-	0	0	0	0	0	0	0	0.05	0	0	0.07	0.01	0.02	0.49	0.01	0.12	0.03	0.1	0.02	0.03	0.02	0.36	-	-	-	-	-
Adamts8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Adamtsl1	-	0	0	0	0	0	0	0	0.12	0.6	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adamtsl3	-	0.06	0.04	0.07	0.41	0.03	0.38	0.15	0.32	0.31	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adamtsl4	-	0	0	0	0	0	0	0	0	0	0	0.88	0.68	0.02	0.45	0	0	0	0	0	0	0	0	0.24	0	0	0	0
Adck3	-	0.3	0.41	0.88	0.11	0.05	0.5	0	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Adck4	-	0.24	0.02	0	0.16	0.37	0.02	0.27	0.02	0	0	0.22	0.05	0.02	0.88	0.59	0.85	0.26	0.27	0.15	0.11	0.33	0.05	-	-	0.57	0.02	0.03
Adcy1	-	0	0	0.03	0	0.01	0	0	0	0	0	0.01	0.09	0.01	0.16	0.05	0.87	0.46	0.77	0.59	0.36	0.16	0.01	-	-	-	-	-
Adcy5	-	0	0	0.01	0.09	0.57	0.1	0.02	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adcy7	-	0.02	0	0	0.02	0	0	0	0	0	0.05	0.38	0.93	0.78	0.09	0.01	0.58	0.89	0.41	0.78	0.34	0.32	0.14	0.51	0.06	0	0.02	0
Add2	-	0	0.02	0	0	0	0	0	0	0	0	0.02	0.04	0.66	0.83	0	0	0	0	0	0.01	0.03	0	0	0	0	0.27	0.71
Adi1	-	0.27	0.01	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0.11	-	-	0	0	0
Adm	-	0.3	0.09	0.46	0.21	0	0	0	0	0.15	0.87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Adora2b	-	0.01	0.25	0.16	0	0	0	0	0	0.02	0.03	0	0.01	0	0	0.49	0.05	0.56	0.5	0.55	0.37	0.25	0.06	-	-	0	0	0
Adrbk2	-	0	0.12	0.57	0.36	0	0.43	0.01	0.55	0.75	0.02	0.09	0.72	0.83	0.41	0.11	0.82	0.4	0.61	0.2	0.61	0.97	0.18	-	-	-	-	-
Adss	-	0.01	0	0	0	0	0	0	0	0	0	0.6	0.86	0.37	0.54	0.23	0.2	0.06	0.1	0.14	0.12	0.09	0.03	-	-	0	0	0
Adssl1	-	0.23	0.54	0.01	0.47	0.83	0.11	0.53	0.06	0.04	0	0.83	0.7	0.02	0.49	0.22	0.41	0.37	0.14	0	0.01	0	0	-	-	0	0	0
Aebp1	-	0.02	0.01	0.61	0.45	0	0	0	0	0.05	0	0.14	0.46	0.75	0.48	0	0	0	0	0	0.98	0.81	0	-	-	0.18	0	0
AF251705	-	0.44	0.05	0.69	0.91	0.17	0.71	0.16	0.33	0.98	0.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Agap2	-	0.9	0.31	0.62	0.4	0.44	0.9	0.25	0.39	0	0.29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Agpat4	-	0.03	0.04	0.01	0	0	0	0	0	0	0.04	0	0	0	0	0.18	0.17	0.13	0.15	0.05	0.06	0.04	0.03	-	-	-	-	-
Agpat9	-	0.85	0.41	0.24	0.98	0.32	0.8	0.52	0.84	0	0	0.37	0.21	0.05	0	0.46	0.72	0.96	0.94	0.63	0.78	0.91	0.12	-	-	-	-	-
Agtpbp1	-	0	0	0.13	0	0	0	0	0.99	0	0	0	0.34	0.62	0.31	0.39	0.98	0.86	0.6	0.97	0.71	0.94	0.47	-	-	0	0	0
Ahcy	-	0.34	0.01	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0	0
Ahr	-	0.75	0.15	0.79	0.32	0.11	0.07	0.82	0.12	0.07	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.48	0	0.01
Ahrr	-	0.09	0.09	0.2	0.19	0.01	0.46	0.09	0.11	0.45	0	0.81	0.56	0.63	0.88	0.77	0.61	0.88	0.43	0.53	0.89	0.85	0.03	-	-	0.44	0.63	0.46
AI607873	-	0.98	0.95	0.44	0.01	0.01	0	0.07	0.21	0.14	0.89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AI661453	-	0.08	0.11	0.07	0.08	0.01	0	0.02	0.19	0.17	0.03	0.07	0.08	0.1	0.01	0.02	0.18	0.4	0.15	0.14	0.06	0.14	0.05	-	-	0	0	0
AI662270	-	0	0	0	0.36	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aifm3	-	0.81	0.98	0.85	0.09	0.9	0	0.52	0.07	0.01	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aim1	-	-	-	-	-	-	-	-	-	-	-	0.23	0.7	0.12	0.01	0.35	0.36	0.31	0.34	0.52	0	0.01	0.74	-	-	0.06	0.11	0.01
Ajap1	-	0	0.01	0.01	0.01	0	0	0	0.33	0.09	0	0.09	0	0	0	0	0	0	0.01	0.02	0	0.01	0	-	-	-	-	-
Akap12	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap6	-	0	0	0	0	0	0	0	0	0	0.23	0.01	0.01	0	0	0	0.02	0.13	0	0.01	0.13	0	0.77	-	-	-	-	-
Akna	-	0.1	0.02	0.11	0	0	0	0	0.02	0	0	0.01	0.63	0.18	0.03	0.01	0.05	0.04	0.07	0.14	0.02	0.04	0.03	0.29	0.98	0	0	0
Akr1b8	-	0	0	0	0	0	0.06	0	0.06	0	0	0.04	0.08	0.04	0.1	0.26	0.56	0.74	0.14	0.22	0.05	0.7	0.15	-	-	0	0	0
Alad	-	0	0	0	0	0	0	0	0	0.02	0.82	0	0	0	0	0	0.01	0.07	0.39	0.02	0.12	0.03	0	0	0	0	0	0
Aldh1a1	-	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh1a7	-	0	0	0	0	0	0	0	0	0	0	0.12	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh1l2	-	0	0	0	0.17	0.63	0.29	0.08	0	0.01	0.22	0.35	0.88	0.59	0.9	0.56	0.96	0.6	0.98	0.33	0.73	0.76	0.27	-	-	-	-	-
Aldh6a1	-	0.58	0.9	0	0	0	0	0	0.14	0	0	0.02	0.31	0.43	0.29	0.07	0.64	0.5	0.84	0.01	0.55	0.37	0.36	0.1	0.18	0	0	0
Aldoc	-	0	0	0	0	0	0	0	0	0	0	0.1	0.37	0.65	0.42	0	0	0	0	0	0	0	0	-	-	0	0	0
Alg8	-	0	0.03	0	0	0	0.44	0	0.02	0.18	0.09	0.03	0.72	0.27	0.24	0	0.7	0.69	0.94	0.25	0.21	0.19	0.24	0.02	0	-	-	-
Alox15	-	0.74	0.13	0.93	0	0	0	0	0.01	0.73	0.24	0.58	0.52	0.25	0.7	0	0	0.03	0.04	0	0.25	0.53	0.56	-	-	0.22	0	0.58
Alox5	-	0.55	0.04	0	0	0	0	0	0.02	0	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alox5ap	-	0.1	0.01	0.05	0.02	0.03	0.12	0.18	0.47	0	0.27	0.83	0.03	0.16	0.35	0.26	0	0	0	0	0	0	0	-	-	0.25	0.55	0.02
Alpk2	-	0	0.01	0	0.29	0	0.01	0.03	0.06	0.21	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alpl	-	0	0	0	0.33	0.53	0.14	0.44	0	0.08	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63	0.38	0.06
Als2cl	-	0.67	0.29	0.24	0.22	0.38	0.29	0.32	0.9	0.5	0.94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alyref	-	0.09	0.36	0.21	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Amer2	-	0	0	0	0	0.01	0.02	0	0.34	0	0.47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ammecr1	-	0.11	0	0	0.02	0.05	0	0.01	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Ampd3	-	0	0	0	0	0	0	0	0	0	0	0.01	0.09	0.1	0.02	0.12	0.13	0.05	0.06	0.02	0.02	0.02	0.06	-	-	0.01	0	0
Amt	-	-	-	-	-	-	-	-	-	-	-	0	0.3	0.23	0.84	0.42	0.69	0.73	0.58	0.6	0.9	0.9	0.79	-	-	-	-	-
Angpt4	-	0.35	0.66	0.07	0.01	0	0	0.01	0	0.33	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Angptl2	-	0	0	0	0	0	0	0	0	0	0	0	0.12	0.29	0.17	0.66	0.56	0.86	0.49	0.6	0.66	0.2	0.16	0.08	0	0	0	0
Angptl4	-	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.4	-	-	0	0	0
Angptl7	-	-	-	-	-	-	-	-	-	-	-	0.01	0.29	0.04	0.8	0.91	0.7	1	0.74	0.97	0.36	0.55	0.89	-	-	-	-	-
Ankle1	-	0	0	0.2	0.03	0	0.74	0	0.81	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ankrd1	-	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0.04	0.03	0.01	0.03	0	0	0	0.08	-	-	0	0	0
Anks1b	-	0.76	0.85	0.58	0.17	0.71	0.45	0.95	0.55	0.06	0.48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Anln	-	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.56	0.89	0.72	0.73	1	0.82	0.74	0.02	0	0	0	0	0
Ano1	-	0.1	0.86	0.12	0.6	0.1	0.07	0.02	0.13	0	0	0.1	0.46	0.71	0.7	0.01	0.01	0.26	0.54	0.79	0.2	0.16	0.11	-	-	0	0	0
Ano4	-	0.02	0.01	0.07	0.33	0.59	0.3	0.08	0.05	0	0	0.16	0.1	0.14	0.22	0.07	0	0	0	0.01	0	0.03	0	-	-	-	-	-
Antxr2	-	0	0	0	0	0	0	0	0	0	0	0.1	0.05	0.05	0.06	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0	0	0	0.02	0	0.01
Anxa1	-	0	0	0	0	0	0	0	0	0	0	0.46	0.08	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa2	-	0	0	0	0	0	0.03	0	0	0.27	0.58	0	0	0	0	0.38	0.28	0.15	0.15	0.05	0.17	0.14	0.39	0	0	0	0.1	0.03
