Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a
2310007B03Rik	-	0.81	0.82	0.36	0.49	0.65	0.73	0.51	0.88	0.01	0	0.13	0.04	0.88	0.17	0.84	0.68	0.62	0.68	0.99	0.44	0.67	0.96	0.57	0.12	-	-	-
2310009B15Rik	-	0.72	0.68	0.78	0.26	0.45	0.82	0.83	0.86	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	-	-	-
2310030G06Rik	-	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.17	0.11	0.32	0.31	0	0.11	0.2	0.53	-	-	0	0	0
2610027K06Rik	-	0	0.01	0.09	0.96	0.74	0.07	0.03	0.79	0.24	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2610037D02Rik	-	0.87	0.94	0.23	0.52	0.21	0.12	0.42	0.58	0	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2610203C20Rik	-	0	0.01	0	0.11	0.52	0	0.29	0	0.06	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2610528A11Rik	-	0.74	0.68	0.51	0.35	0.83	0.98	0.58	0.27	0.34	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.81	0.62	0.54
2700094K13Rik	-	0.82	0.16	0	0	0	0	0	0	0	0	0.02	0.01	0.67	0	0	0	0	0	0	0	0	0	0.77	0.09	0.21	0	0
2810025M15Rik	-	0	0	0	0	0	0	0	0	0.29	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	0.88	0.04
2810032G03Rik	-	0.41	0.56	0.15	0	0	0	0	0.01	0.03	0.31	0.11	0.21	0.86	0.22	0	0	0.01	0.01	0.06	0.37	0.21	0.4	-	-	-	-	-
2810047C21Rik1	-	0.32	0.97	0.3	0	0.02	0.13	0.01	0.06	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2810055G20Rik	-	0	0.85	0.39	0.23	0.05	0	0.02	0.2	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2810410L24Rik	-	0.3	0	0	0.13	0.55	0.01	0.01	0.01	0	0.02	0.5	0.01	0.06	0.01	0.4	0.91	0.83	0.92	0.74	0.87	0.97	0.86	0.07	0.58	-	-	-
2900005J15Rik	-	0.67	0.45	0.38	0	0	0	0	0	0.68	0.01	0.67	0.37	0.15	0.85	0	0.01	0.09	0.13	0.03	0.08	0.15	0.4	-	-	-	-	-
2900057B20Rik	-	0.8	0.41	0.35	0.03	0.03	0.11	0.28	0.02	0.92	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3110057O12Rik	-	0.03	0.09	0.04	0.19	0.19	0.58	0.13	0.04	0.21	0	0.87	0.86	0.72	0.83	0.77	0.73	0.62	0.68	0.94	0.85	0.6	0.5	-	-	0.36	0.01	0.11
3830408C21Rik	-	0.77	0.79	0.74	0.38	0.49	0.3	0.25	0.82	0.3	0.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4430402I18Rik	-	0.34	0.51	0.89	0.67	0.04	0.66	0.36	0.91	0.92	0.49	-	-	-	-	-	-	-	-	-	-	-	-	0	0	-	-	-
4732456N10Rik	-	-	-	-	-	-	-	-	-	-	-	0.51	0.41	0.97	0.1	0.32	0	0	0	0.87	0	0	0.02	0.06	0.76	-	-	-
4833417C18Rik	-	0.43	0.99	0.82	0.01	0.5	0.44	0.23	0.1	0.15	0.35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4921536K21Rik	-	-	-	-	-	-	-	-	-	-	-	0	0.28	0.11	0.51	0.63	0.76	0.77	0.71	0.69	0.82	0.68	0.59	0.29	0.03	0	0	0
4930429F24Rik	-	0.57	0.4	0.29	0.13	0	0.41	0	0.71	0	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4930447C04Rik	-	0.42	0.28	0.37	0.29	0	0	0.01	0	0.24	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4930502E18Rik	-	0.96	0.23	0.03	0	0.03	0.69	0.27	0.85	0.59	0	0.85	0.33	0.01	0.31	0.09	0.08	0.06	0.1	0.05	0	0	0.77	-	-	-	-	-
4930565N06Rik	-	0.8	0.18	0.56	0.72	0.33	0.94	0.05	0	0.05	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4931406H21Rik	-	0.01	0.06	0.01	0.65	0	0	0	0	0.02	0.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4933407K13Rik	-	0	0	0.13	0.02	0.54	1	0.5	0.05	0	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4933431G14Rik	-	0.16	0.99	0.98	0.08	0.53	0.21	0.27	0.15	0.5	0.59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5031426D15Rik	-	0.23	0.91	0.42	0.44	0.66	0.23	0.88	0.65	0.5	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5330417C22Rik	-	0	0.31	0.05	0.12	0.02	0	0.02	0.01	0	0	0.07	0.51	0.33	0.35	0.47	0.31	0.59	0.63	0.39	0.29	0.35	0.33	-	-	0	0	0
5330434G04Rik	-	0.05	0.05	0.01	0	0	0	0	0.2	0.01	0.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5430402O13Rik	-	0.65	0.25	0.51	0.01	0.28	0.69	0.09	0.73	0.01	0.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5430435G22Rik	-	0.17	0.44	0.12	0.58	0.87	0.99	0.77	0.15	0	0	0.52	0.92	0.83	0.49	0.34	0.93	0.77	0.39	0.64	0.52	0.38	0.02	-	-	0.9	0.68	0.82
5530601H04Rik	-	0.02	0.04	0.02	0	0.01	0.01	0	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8430431K14Rik	-	0.83	0.79	0.72	0.5	0.28	0.21	0.11	0.03	0.19	0.74	0.99	0.08	0.78	0.86	0.97	0.44	0.64	0.69	0.91	0.46	0.98	0.19	0.6	0.23	-	-	-
9130401M01Rik	-	0.56	0	0.04	0.24	0	0.06	0	0	0.55	0	0.83	0	0	0	0.52	0.27	0.5	0.2	0.81	0.25	0.61	0.23	0	0	0.31	0.43	0.62
9330151L19Rik	-	0.06	0.02	0	0	0	0	0	0.01	0	0	0.37	0	0	0.01	0.29	0.25	0.78	0.38	0.93	0.56	0.5	0.35	0	0	-	-	-
9330159M07Rik	-	0.23	0.35	0.02	0.06	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9330175E14Rik	-	0.48	0.61	0.31	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9330182L06Rik	-	0.37	0.46	0.4	0.01	0.26	0.5	0.1	0.92	0.83	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9530091C08Rik	-	-	-	-	-	-	-	-	-	-	-	0.5	0.38	0.13	0.79	0.17	0.35	0.57	0.37	0.51	0.61	0.71	0.01	0	0	-	-	-
A230072C01Rik	-	0.03	0	0.01	0.18	0	0.27	0	0.04	0	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
A2m	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0	0.01
A330023F24Rik	-	0.2	0.16	0.85	0.88	0.82	0.19	0.11	0.6	0.01	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
A330076H08Rik	-	0.7	0.82	0.76	0.53	0	0	0	0.85	0.65	0.65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
A430107P09Rik	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0.81	1	0.98	0.88	1	0.99	0.93	0.92	-	-	-	-	-
A630007B06Rik	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0.7	0.83	0.37	0.7	0.69	0.47	0.53	0.38	0.01	0.01	-	-	-
A830010M20Rik	-	0.11	0.99	0.95	0.09	0.52	0	0.01	0.48	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
A830082N09Rik	-	0.28	0.64	0.73	0.67	0.4	0.35	0.76	0.33	0.03	0.54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
A930013F10Rik	-	0	0	0.02	0.2	0	0	0	0	0.02	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aasdh	-	0.52	0.35	0.74	0.88	0.57	0	0.11	0.07	0.22	0	0.04	0.01	0.01	0.24	0.64	0.76	0.77	0.99	0.88	0.26	0.76	0.66	0	0	-	-	-
Aatk	-	0.62	0	0.01	0	0	0	0	0	0	0	0.03	0.25	0.28	0	0.03	0.04	0.01	0.02	0	0.03	0.02	0.03	0	0.61	-	-	-
Abca13	-	0.57	0.74	0.78	0.02	0.01	0.23	0.02	0.04	0.19	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Abca4	-	0	0	0	0	0	0	0	0	0	0	0.82	0.82	0.47	0.74	0	0	0	0	0	0	0	0	-	-	0	0	0
Abca8b	-	0.27	0.82	0.27	0.89	0.11	0.07	0.64	0.97	0.02	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Abcb9	-	-	-	-	-	-	-	-	-	-	-	0.68	0.58	0.64	0.62	0.09	0.16	0.25	0.24	0	0.58	0.6	0.22	-	-	-	-	-
Abcc3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	0.01	0.04
Abcc8	-	0	0	0	0	0	0	0	0	0	0	0.67	0.49	0.01	0.16	0	0	0	0	0	0	0.08	0.37	0.96	0	0	0	0
Abcc9	-	0	0	0	0	0	0	0.1	0.1	0	0.12	0.55	0.1	0.92	0.06	0.71	0.46	0.75	0.04	0.79	0.52	0.82	0	-	-	0	0	0.01
Abcg2	-	0.08	0.01	0.04	0.38	0.8	0.51	0.69	0.04	0	0	0.85	0	0	0	0.45	0.82	0.54	0.68	0.49	0.8	0.7	0.79	0	0	0	0	0
Ablim1	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.34	0.45	0.06	0.54	0.08	0.31	0	0.06	0	0	0	0
Abt1	-	0.38	0.25	0.03	0.01	0	0.07	0	0.02	0	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Acacb	-	-	-	-	-	-	-	-	-	-	-	0.74	0.63	0.59	0.96	0.1	0.51	0.13	0.38	0.36	0.65	0.18	0.12	-	-	0.04	0.36	0.06
Accs	-	0.6	0.85	0.01	0	0	0.05	0.23	0.02	0.01	0.61	0.19	0.67	0.37	0.67	0.09	0.21	0.2	0.21	0.2	0.27	0.31	0.14	0.35	0	-	-	-
Acer2	-	0	0.01	0.61	0	0	0	0	0	0.35	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Acer3	-	0.82	0.16	0.17	0	0	0.38	0	0	0	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Acvr1	-	0.43	0.01	0.01	0.13	0	0.85	0	0	0	0.21	0.73	0.26	0.89	0.18	0.95	0.55	0.61	0.81	0.3	0.35	0.75	0.01	0.01	0.54	0.54	0	0
Acvr1b	-	0	0	0	0	0	0.14	0.24	0.18	0.47	0	0	0.03	0.04	0	0.53	0.75	0.82	0.82	0.77	0.89	0.91	0.97	0	0	0	0	0
Acvr2b	-	0	0	0	0	0.03	0	0.01	0	0.99	0	0.06	0.1	0.27	0.45	0	0	0	0	0	0	0	0	0.74	0.45	0	0	0
Adam19	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Adam1a	-	0.75	0.29	0.54	0.08	0	0	0.03	0.44	0.62	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adamts10	-	0.61	0.32	0.58	0.86	0.04	0.04	0.49	0.03	0	0.01	0.16	0.57	0.52	0.5	0.67	0.41	0.41	0.23	0.83	0.23	0.37	0.27	-	-	0.67	0.38	0
Adamts12	-	0	0	0	0.08	0	0	0	0	0	0.44	0.16	0.04	0	0.04	0.04	0	0	0.01	0.01	0.01	0.01	0	-	-	-	-	-
Adamts16	-	0.32	0.14	0.78	0.94	0	0	0.02	0	0.15	0.14	0.4	0.39	0.24	0.94	0.35	0.48	0.25	0.73	0.03	0.34	0.78	0	-	-	-	-	-
Adamts6	-	0.05	0.01	0	0	0	0	0	0.03	0.12	0	0.01	0.16	0.62	0.78	0.36	0.73	0.95	0.89	0.91	0.49	0.41	0.07	-	-	-	-	-
Adap2	-	0.26	0.2	0.46	0.01	0	0	0	0.51	0.18	0.15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.02
Adarb2	-	0	0	0	0	0	0	0	0.39	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adcy4	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0.01	0.08	0
Adcy8	-	0.27	0.65	0.42	0.58	0.05	0.36	0.34	0.08	0.69	0.46	0.42	0.1	0.13	0.12	0.08	0.12	0.32	0.15	0.32	0.24	0.03	0.15	-	-	0.01	0	0.05
Adora1	-	0.04	0.14	0.25	0.99	0.35	0.41	0.23	0.01	0	0	0.11	0	0.02	0	0	0.05	0.01	0.01	0.02	0.04	0.15	0.02	-	-	-	-	-
Adra2a	-	0.06	0.08	0.01	0	0	0.01	0	0.19	0.29	0	0.67	0.06	0	0.15	0	0	0.01	0.09	0.01	0.98	0.92	0.18	0.41	0.76	-	-	-
Adra2c	-	0.01	0	0	0	0	0.14	0	0	0	0.01	0.76	0.67	0	0.97	0	0	0	0	0	0	0	0	-	-	0	0.07	0.77
Adrb2	-	0.04	0.1	0.02	0.17	0.13	0.58	0.01	0.17	0.72	0.94	0.52	0.16	0.73	0.05	0.24	0.25	0.26	0.57	0.98	0.78	0.47	0.33	0.15	0.48	0.05	0.01	0.05
Aen	-	0	0	0	0	0	0.1	0	0	0.79	0.02	-	-	-	-	-	-	-	-	-	-	-	-	0.43	0.61	0	0	0
Afap1l2	-	0	0	0.03	0.22	0.03	0.93	0.6	0.36	0.23	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Agbl3	-	0.4	0.02	0	0	0	0	0	0	0.03	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.02	0.03
Ago3	-	0.01	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AI467606	-	0.02	0.01	0.01	0.12	0.64	0.25	1	0.93	0	0	0.89	0.78	0.56	0.65	0.55	0.9	0.87	0.37	0.31	0.67	0.86	0	-	-	-	-	-
AI847159	-	0.92	0.94	0.56	0.32	0.54	0.65	0.43	0.47	0.09	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aif1l	-	0.01	0.01	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	0.1	0.08
Airn	-	0	0.07	0.61	0.01	0	0	0	0.36	0.9	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Akap5	-	0.65	0.14	0.26	0	0.81	0.01	0.83	0.11	0.31	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Akap8l	-	0	0	0	0	0	0	0	0	0	0	0.28	0.12	0.03	0.24	0	0	0.04	0.06	0.01	0.01	0	0	0.11	0.04	0.08	0.6	0.39
Aldh1a2	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	-	-	0	0	0
Aldh1a3	-	0	0	0.06	0.58	0.05	0	0.76	0	0.02	0.19	0	0	0.61	0	0.84	0.95	0.96	0.71	0.22	0.23	0.34	0.35	0	0	0	0	0
Aldh1b1	-	0	0	0.63	0.92	0.1	0	0.13	0.59	0.82	0	0.28	0.71	0.21	0.11	0	0.64	0.08	0.74	0.09	0.98	0.61	0.18	-	-	0.88	0.01	0
Aldh1l1	-	0.8	0	0.08	0	0	0	0	0.64	0.01	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	0	0.94
Aldh3b1	-	0.51	0.55	0.85	0.5	0.14	0.07	0.88	0	0.51	0.66	0.89	1	0.28	0.89	0.63	0.47	0.43	0.17	0.12	0.09	0.18	0.1	-	-	-	-	-
Alpk3	-	0	0	0	0	0	0	0.01	0	0	0.32	0.22	0.05	0.01	0.01	0.02	0.03	0.03	0.01	0.12	0.02	0.02	0.01	-	-	0	0	0
Amica1	-	-	-	-	-	-	-	-	-	-	-	0.63	0.36	0.16	0.33	0.63	0.89	0.39	0.86	0.56	0.64	0.17	0.75	0.7	0.72	-	-	-
Amy1	-	0.62	0.55	0.8	0.5	0.44	0.53	0.92	0.11	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	0.04	0
Angpt2	-	0.19	0.76	0.26	0	0	0	0	0	0.22	0.63	0.71	0.32	0.73	0.05	0	0	0	0	0.01	0.78	0.8	0.16	0.43	0.17	0	0.01	0
Ank1	-	0	0	0	0	0	0	0	0	0	0	0.43	0.92	0.2	0.7	0.39	0.96	0.83	0.79	0.84	0.93	0.54	0.36	-	-	0	0	0
Ankrd45	-	0.01	0.1	0	0.03	0.02	0.03	0.1	0.13	0.13	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ano3	-	0.84	0.88	0.75	0.02	0.27	0.01	0.24	0.99	0.06	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Anp32b	-	0.95	0.11	0.24	0	0	0	0	0	0	0	0	0	0	0	0.95	0.9	0.73	0.97	0.88	0.97	0.98	0.89	0	0	0.02	0	0
Anpep	-	-	-	-	-	-	-	-	-	-	-	0	0.23	0.05	0.1	0.16	0.05	0.07	0.04	0.28	0.02	0.02	0.08	0.37	0.2	0.03	0	0
Anxa5	-	0.24	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.25	0.27	0.78	0.51	0	0	0	0	0	0	0	0	0
Apba1	-	0.01	0.21	0.38	0	0	0	0	0	0	0	0	0	0.3	0.03	0.04	0.25	0.99	0.09	0.04	0.43	0.21	0.7	-	-	-	-	-
Apc2	-	0	0	0.01	0.58	0.01	0.02	0.03	0.82	0.12	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.03
Aph1b	-	0	0	0	0	0	0.28	0	0	0.95	0.01	0	0.68	0	0.41	0.72	0.12	0.19	0.21	0.47	0.08	0.13	0.59	0.15	0.08	-	-	-
Apln	-	0	0.04	0.33	0.18	0.46	0.9	0.88	0.38	0.29	0	0.31	0.22	0.44	0.29	0.93	0.85	0.98	0.95	0.9	0.89	0.92	0.89	0.07	0.07	0	0	0
Apobec1	-	0.29	0.72	0.96	0.24	0.19	0.17	0.05	0.03	0.84	0.05	0.17	0.77	0.6	0.74	0.18	0.49	0.32	0.25	0.37	0.38	0.2	0.55	-	-	0.06	0.01	0.01
Apobr	-	0	0	0	0	0	0.06	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.14	0.05
Apoc2	-	0	0	0	0	0	0	0	0	0	0	0.12	0.09	0.22	0.14	0.06	0.05	0.16	0.04	0.02	0.05	0.08	0	-	-	0	0	0
Appl2	-	0	0	0	0	0	0	0	0	0	0	0	0.17	0.64	0	0.01	0.01	0.01	0.01	0	0	0	0.01	0.39	0.14	0	0	0
Aqp11	-	0.21	0.87	0.88	0.31	0.17	0	0.02	0	0.13	0.01	0.14	0.6	0.81	0.2	0.07	0.11	0.03	0.01	0.38	0.01	0.02	0	-	-	-	-	-
Arhgap22	-	0.02	0.33	0.01	0.71	0.02	0.3	0.12	0.71	0.19	0	0.08	0.2	0.14	0.26	0.08	0.07	0.53	0.38	0.94	0.91	0.47	0.88	-	-	-	-	-
Arhgap25	-	0.41	0.99	0.58	0.99	0.35	0.76	0.61	0.72	0	0	0.22	0.53	0.66	0.79	0.11	0.65	0.95	0.95	0.32	0.33	0.65	0.14	-	-	-	-	-
Arhgap26	-	0.08	0.46	0.19	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Arhgap28	-	0	0	0	0	0	0	0	0	0	0	0.16	0.59	0.95	0.08	0.09	0.12	0.14	0.12	0.27	0.16	0.22	0.02	0.17	0.05	-	-	-
Arhgap31	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.81	0.25	0.27
Arhgap42	-	0	0	0	0	0	0.02	0	0	0.06	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Arhgdia	-	0	0	0	0.14	0.28	0.01	0.49	0.08	0.04	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.13	0	0
Arhgef39	-	0	0	0.8	0	0	0	0	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Arl15	-	0.05	0	0.29	0	0	0.18	0	0.84	0.03	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Arntl2	-	0.11	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Arpc3	-	0.7	0.15	0.69	0.67	0.93	0.02	0.59	0.32	0.14	0	0	0.26	0.06	0.09	0.2	0.71	0.75	0.96	0.17	0.5	0.81	0.89	0.01	0.05	0.1	0.14	0.11
Arpc4	-	0.07	0.73	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0
Arr3	-	0.63	0.68	0.49	0.86	0.27	0.13	0.06	0.42	0.03	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Arsi	-	0	0	0	0	0	0	0	0.57	0	0	0.43	0.81	0.05	0.38	0	0	0	0	0	0	0	0	-	-	0	0	0.07
Asb5	-	0.28	0.48	0.62	0.83	0.8	0.85	0.81	0.83	0.8	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0	0
Ascl1	-	0	0	0	0	0	0.05	0	0.75	0.01	0	0.22	0	0	0.05	0.02	0.01	0.07	0.58	0.23	0.89	0.69	0.06	-	-	0	0	0
Astn1	-	0	0	0	0	0	0	0	0	0	0	0.02	0.08	0.36	0	0.18	0.44	0.32	0.62	0.71	0.38	0.65	0.17	0.01	0	0.26	0	0
Atf4	-	0.53	0.64	0.58	0.02	0	0.12	0	0	0.66	0	0.89	0	0	0	0	0	0	0	0	0.69	0.39	0.05	0	0	0	0	0
Atox1	-	0.94	0.85	0.8	0.17	0.24	0.13	0.17	0.31	0	0	0	0	0.26	0.05	0	0.07	0.01	0.12	0	0.28	0.22	0.01	0.35	0.14	0	0.01	0.01
Atp2b2	-	0	0	0	0	0	0	0	0.01	0.67	0.63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.87	0.2	0.55
Atp6v0a4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.47	0.66
Atxn7	-	0	0.56	0.01	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
AU041133	-	0.69	0.24	0.59	0.13	0.03	0	0.32	0.06	0	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avpi1	-	0.77	0.3	0.1	0.45	0.05	0.05	0.09	0.13	0.92	0	0.05	0.03	0.52	0.15	0.17	0.02	0.13	0.03	0.1	0.02	0.01	0	-	-	0.01	0.12	0.32
B230217O12Rik	-	0.96	0.52	0.44	0.9	0.64	0.25	0.97	0.01	0	0.57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
