Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a
Pcdhgb4	-	-	-	-	-	-	-	-	-	-	-	0.44	0.06	0.14	0.13	0.1	0.49	0.41	0.18	0.03	0.49	0.54	0.02	0.77	0.3	-	-	-
Pcdhgb8	-	-	-	-	-	-	-	-	-	-	-	0.95	0	0	0.01	0.77	0.75	0.64	0.66	1	0.58	0.8	0.12	0.08	0.2	-	-	-
Pclo	-	0	0	0	0.29	0	0	0	0	0.01	0	0.03	0.03	0.02	0.29	0.04	0.68	0.75	0.71	0.97	0.34	0.35	0.22	0.15	0.06	0	0	0
Pcnx	-	0	0	0	0	0	0	0	0	0	0	0	0.4	0.06	0.97	0	0	0	0	0	0	0	0	0	0.91	0	0.02	0
Pcsk4	-	0.11	0	0	0.24	0.48	0.33	0.99	0	0.07	0.15	0.9	0.59	0.75	0.48	0.15	0.36	0.48	0.27	0.82	0.39	0.52	0.71	-	-	0.04	0.14	0.67
Pcsk6	-	0.05	0.56	0	0	0	0	0	0.03	0.04	0.32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.84	0.64	0.09
Pcx	-	0.94	0.41	0.9	0.2	0.57	0.02	0.19	0	0	0	0.03	0.04	0.09	0.37	0.29	0.21	0.38	0.19	0.85	0.08	0.29	0.21	-	-	0	0	0
Pdap1	-	0.22	1	0.07	0	0	0	0	0	0	0	0	0.53	0.01	0	0	0	0	0	0	0	0	0	0.04	0	0.36	0	0
Pdcd1lg2	-	0.58	0.6	0.55	0.15	0	0.12	0.01	0.2	0	0.31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pdcl3	-	0.37	0	0	0	0	0	0	0	0	0.19	0.01	0.46	0.21	0.51	0.84	0.57	0.46	0.26	0.61	0.94	0.5	0.45	-	-	0	0	0
Pde6b	-	0.59	0.98	0.63	0.49	0.59	0.36	0.39	0	0	0	0.79	0.65	0.81	0.66	0.42	0.82	0.96	0.54	0	0.89	0.53	0.01	-	-	0.11	0.54	0.77
Pde7b	-	0.14	0.5	0.12	0.52	0.08	0.9	0.33	0.18	0.64	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.16	0.9	0.3	0.52	0.16
Pde9a	-	0	0	0	0	0	0	0	0	0	0	0.25	0.28	0.37	0.81	0.58	0.94	0.66	0.84	0.55	0.57	0.95	0.58	-	-	0	0	0
Pdgfa	-	0	0	0	0.74	0.05	0	0.05	0.04	0.08	0.11	0.7	0	0.32	0	0.37	0.31	0.28	0.85	0.62	0.59	0.74	0.33	0	0.28	0	0	0
Pdgfd	-	0.33	0.08	0.02	0.87	0.12	0.53	0.07	0.57	0	0.29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.45
Pdgfra	-	0.07	0.24	0.94	0.13	0	0.1	0	0	0	0.93	0.01	0.77	0	0.02	0.61	0.28	0.33	0.24	0.51	0.89	0.94	0.07	0.48	0	0.02	0.12	0.94
Pdgfrb	-	0	0.01	0	0	0	0	0	0	0.57	0	0	0.01	0.01	0.04	0.1	0.75	0.59	0.14	0.03	0.08	0.05	0.33	-	-	0	0	0
Pdk4	-	0.38	0.37	0.52	0.89	0.35	0.91	0.42	0.4	0.83	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Pdlim7	-	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.17	0	0.04	0	0.07	0	0	-	-	0	0	0
Pdpn	-	0	0.17	0.6	0.28	0	0.03	0	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Peg12	-	0	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0	0.7	0.48	0.77	0.34	0.39	0.52	0.6	0.34	0	0	0	0	0
Pfdn4	-	0.16	0.47	0	0	0	0	0	0	0	0	0.7	0	0.11	0.01	0	0	0	0	0	0	0	0	-	-	-	-	-
Pfkfb2	-	0.46	0.88	0.67	0.01	0.05	0	0.02	0.75	0.05	0	0.13	0.02	0	0.02	0.65	0.54	0.71	0.9	0.6	0.76	0.32	0.51	0.1	0.92	0	0	0
Pfn1	-	0.36	0.16	0.29	0.04	0.08	0.25	0.04	0.35	0	0	0.04	0.01	0.87	0.33	0	0.72	0.34	0.36	0.26	0.29	0.83	0.17	0	0	0.02	0.23	0.04
Pgd	-	0.83	0.14	0.25	0.01	0	0.01	0	0	0	0.01	0	0	0	0	0.03	0.09	0	0	0	0	0	0	-	-	0	0	0.03
Pgm2l1	-	0	0	0	0	0	0	0	0	0.03	0.19	0.51	0.12	0.43	0.21	0.75	0.37	0.55	0.84	0.35	0.93	0.61	0.34	-	-	-	-	-
Pgs1	-	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0.02	0	0	0	0	0	0.13	0	0	0.07	0.9	0.57
Phb2	-	0	0.57	0.07	0	0	0	0	0	0	0	0.53	0.03	0.64	0.01	0	0	0	0	0	0	0	0	0	0	0.04	0.06	0
Phc2	-	0	0	0	0	0.2	0	0.35	0	0	0	0.03	0.01	0	0.18	0	0	0	0	0.04	0	0	0	0	0	0	0	0
Phex	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65	0.06	0.59
Phka1	-	0	0	0	0	0	0	0	0	0	0	0	0.37	0.07	0.93	0.6	0.66	0.73	0.41	0.83	0.42	0.69	0.02	0.16	0.38	0.02	0	0
Pik3r6	-	0.67	0.13	0.03	0.07	0	0.08	0	0.07	0.03	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pinx1	-	0.06	0.08	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	0.03	0.01
Pipox	-	0.35	0.13	0.33	0.06	0.71	0	0.01	0	0.54	0.33	0.69	0.43	0.51	0.21	0	0.02	0.01	0.15	0.89	0.38	0.41	0.4	-	-	0	0.03	0
Pitx2	-	0.43	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1l1	-	-	-	-	-	-	-	-	-	-	-	0	0.02	0.09	0	0.03	0.01	0.07	0.04	0.84	0.07	0.09	0.09	-	-	-	-	-
Pkig	-	0.13	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0.01	0.61	0.43	0.52	0	0.15	0.1	0	-	-	0	0	0
Pla2g16	-	0	0	0	0	0	0	0	0	0	0	0	0.06	0.02	0.04	0.92	0.46	0.47	0.54	0.78	0.52	0.69	0.54	0.01	0.07	0	0	0
Pla2g2d	-	0.55	0.2	0.36	0.79	0.85	0.46	0.5	0.5	0.26	0.29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	0.11	0.44
Plch2	-	0.99	0.63	0.37	0.14	0.29	0.05	0.86	0.7	0.04	0	0.67	0.72	0.14	0.66	0.16	0.33	0.23	0.51	0.68	0.42	0.44	0.22	-	-	-	-	-
Plcl1	-	0.02	0	0	0.02	0.1	0.67	0.01	0.23	0.62	0.53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pld6	-	0	0.13	0	0	0	0	0	0	0.05	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Plekha6	-	0	0	0	0.04	0.3	0.61	0.28	0.16	0.16	0.05	0.11	0.44	0.03	0.34	0.09	0.08	0.11	0.11	0.06	0.46	0.05	0.04	0.31	0.01	0.12	0.02	0.07
Plekhd1	-	0.9	0.37	0.58	0.42	0.37	0.67	0.11	0.11	0.4	0.97	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Plod3	-	0	0	0	0	0	0.02	0.05	0	0.02	0.07	0	0.04	0.04	0.01	0.28	0.39	0.21	0.2	0.04	0.49	0.3	0.37	0.01	0	0	0	0
Plvap	-	0.35	0.31	0.19	0.42	0.36	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0.18	0	0
Plxnb1	-	0.07	0.43	0	0	0.03	0.05	0.04	0	0.07	0.05	0.21	0	0.03	0	0.79	0.76	0.9	0.95	0.97	0.97	0.98	0.82	0	0	-	-	-
Plxnc1	-	0	0	0	0	0	0.27	0	0.8	0.3	0	0.77	0.39	0.05	0.02	0.1	0.77	0.61	0.27	0.32	0.22	0.38	0.37	-	-	0.45	0	0
Pm20d2	-	0.06	0.08	0.16	0.14	0.27	0.41	0.33	0.37	0.05	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pnma5	-	0.5	0.7	0.32	0.16	0.78	0.55	0.47	0.01	0.14	0.67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pnpt1	-	0	0	0.01	0	0	0.04	0	0	0	0	0	0	0	0	0.89	0.85	0.74	0.83	0.85	0.8	0.95	0.93	0	0	0	0.28	0.04
Pofut2	-	0.85	0.02	0.15	0.04	0	0	0	0	0	0	0.19	0.07	0	0.55	0.55	0.84	0.83	0.99	0.5	0.63	0.53	0.58	0.53	0.9	0	0	0
Polr3d	-	0.05	0.02	0.05	0.03	0.08	0	0.01	0.01	0	0	0.34	0.43	0.1	0.49	0.33	0.6	0.96	0.42	0.19	0.22	0.52	0.27	0.33	0.45	0.01	0	0
Popdc3	-	-	-	-	-	-	-	-	-	-	-	0.07	0.17	0.17	0.15	0.06	0.04	0.07	0	0	0	0	0	-	-	-	-	-
Porcn	-	0	0	0	0	0	0	0	0	0	0	0.38	0.19	0.23	0.23	0	0.01	0	0	0	0	0	0.01	-	-	0.77	0.88	0.27
Postn	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Pou2f3	-	0.42	0.13	0.08	0	0.81	0.38	0.23	0.12	0	0.87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pou4f1	-	0	0	0	0	0.01	0.02	0	0.78	0	0	0	0	0	0	0	0	0	0	0.93	0	0	0	-	-	-	-	-
Pou4f2	-	0.01	0.04	0.03	0.69	0.85	0.57	0.05	0.06	0.23	0.13	0.96	0.1	0.54	0.09	0.46	0.7	0.08	0.04	0.75	0.32	0.55	0	-	-	-	-	-
Ppa1	-	0	0.06	0.51	0	0.18	0.44	0	0.39	0	0	0	0.01	0.13	0.01	0.14	0.02	0.01	0	0.02	0	0	0	-	-	0.02	0	0.3
Ppapdc1b	-	0.64	0.04	0.27	0.76	0.35	0.43	0	0	0	0.06	0.12	0.27	0.48	0.65	0.55	0.98	0.42	0.57	0.33	0.16	0.16	0.7	-	-	-	-	-
Ppara	-	0.52	0.37	0.14	0.91	0.11	0.29	0.23	0.25	0.03	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ppargc1a	-	0.2	0.26	0	0.06	0.94	0	0.72	0	0.1	0	0	0.53	0.04	0.04	0.32	0.16	0.05	0.18	0.66	0.17	0.06	0.12	0.64	0.45	0	0.02	0
Ppfia4	-	0.34	0.92	0.99	0	0.1	0	0.98	0.41	0.56	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0
Ppfibp1	-	0	0	0	0.11	0.03	0.47	0.4	0	0	0	0.36	0.47	0.1	0.54	0.23	0.71	0.74	0.19	0.05	0.16	0.17	0.04	-	-	-	-	-
Ppfibp2	-	0.23	0	0	0	0	0.55	0	0	0.06	0	0	0.97	0.32	0.69	0.03	0.01	0.02	0.01	0.97	0.07	0.04	0.15	-	-	0	0	0
Ppil1	-	0.28	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-
Ppm1m	-	0.07	0.36	0	0	0	0	0	0	0	0.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Ppp1r12b	-	0.01	0.61	0.22	0	0	0	0	0.15	0.33	0	0.35	0.42	0.31	0.3	0.6	0.49	0.42	0.82	0.56	0.71	0.59	0.43	-	-	-	-	-
Ppp1r14b	-	0.27	0.01	0.01	0.07	0	0	0	0	0	0	0	0	0	0	0.27	0.5	0.94	1	0.35	0.39	0.17	0.15	-	-	0	0	0
Ppp1r3d	-	0.07	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ppp1r9a	-	0.5	0.85	0.09	0.6	0.03	0	0.34	0.43	0.52	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-
Ppp4r1l-ps	-	0.05	0.15	0.2	0.17	0.13	0.04	0.38	0	0.46	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pprc1	-	0.01	0.15	0.26	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0.02	0	0.41	0.01	0
Pram1	-	0.47	0.77	0.78	0.61	0.73	0.95	0.41	0.29	0.73	0.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Prdm10	-	0.13	0.04	0	0	0	0	0	0	0	0	0.21	0.02	0.01	0.1	0.64	0.73	0.7	0.52	0.87	0.91	0.6	0.95	-	-	-	-	-
Prdm11	-	0.37	0.12	0.37	0.55	0.24	0.01	0.26	0.94	0	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Prdm9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Prelp	-	0.15	0.44	0.8	0.97	0.84	0	0.61	0	0	0	0.22	0.19	0.31	0.15	0.57	0.86	0.6	0.58	0	0.42	0.85	0	-	-	0	0.41	0.01
Prep	-	0.07	0.03	0.19	0.01	0	0	0	0	0	0	0.01	0.77	0.81	0.96	0.67	0.49	0.63	0.6	0.81	0.64	0.49	0.68	0.41	0.8	0	0	0
Prickle3	-	-	-	-	-	-	-	-	-	-	-	0.43	0.77	0.33	0	0	0.25	0.12	0.06	0	0	0	0	0	0	-	-	-
Prkaa2	-	0.08	0.95	0	0	0	0	0	0	0	0	0.28	0.77	0.77	0.66	0	0	0	0	0	0	0	0	-	-	-	-	-
Prkab2	-	0	0	0	0	0	0	0	0	0	0	0.63	0.55	0.41	0.37	0	0	0	0	0	0	0	0	-	-	-	-	-
Prkce	-	0	0	0	0	0	0	0	0	0	0	0.35	0.18	0.07	0.48	0.45	0.12	0.32	0.44	0.38	0.79	0.8	0.59	-	-	0.45	0.78	0.4
Procr	-	0	0	0.01	0.13	0	0.03	0	0.02	0	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	0.15	0.1
Prom2	-	-	-	-	-	-	-	-	-	-	-	0.2	0.04	0.02	0.02	0.68	0.36	0.59	1	0.43	0.37	0.69	0.01	0	0	-	-	-
Prox1	-	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prph	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	-	-	-	-	-
Prr15	-	0.09	0.16	0.15	0.49	0.14	0.18	0.53	0.01	0.94	0.39	0.46	0.85	0.8	0.24	0.95	0.98	0.99	0.93	0.41	0.85	0.69	0.01	0.15	0.48	0	0	0
Prrt1	-	0.03	0.21	0.57	0.44	0.4	0.14	0.3	0.27	0	0	0.88	0.16	0.49	0.07	0.54	0.27	0.55	0.36	0.11	0.48	0.41	0	-	-	0.43	0.85	0.04
Prrx2	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Prss22	-	0.87	0.68	0.41	0.1	0	0.01	0.02	0.97	0.01	0	0.46	0.54	0.03	0.19	0.02	0.14	0.15	0.4	0.21	0.46	0.49	0.14	-	-	-	-	-
Prss35	-	0	0	0	0	0	0	0	0	0	0	0.37	0.21	0.59	0.83	0.76	0.21	0.46	0.28	0.35	0.18	0.27	0.22	-	-	0.01	0.1	0.41
Prss36	-	0.1	0	0	0	0	0	0	0.19	0	0	0.38	0.02	0.36	0.22	0.04	0.55	0.47	0.09	0.22	0.19	0.06	0	-	-	-	-	-
Psg23	-	0.69	0.08	0.08	0.13	0.63	0	0.94	0.93	0.99	0.68	0.56	0.03	0	0	0.75	0.96	0.9	0.82	0.73	0.87	0.61	0.79	-	-	0	0	0
Psg28	-	0.02	0.45	0.52	0.03	0	0.01	0	0	0.2	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Psma1	-	0.2	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0.87	0.84	0.8	0.61	0.98	0.87	0.1	0	0	0	0	0
Psma5	-	0.11	0.01	0.02	0.03	0.23	0.1	0.65	0	0	0.09	0.03	0	0	0	0.47	0.41	0.19	0	0	0	0	0	-	-	0	0.15	0.04
Psmd14	-	0.1	0.07	0.01	0	0.86	0.01	0.02	0.01	0	0	0	0	0	0	0	0.73	0.87	0.32	0.01	0.28	0.34	0.43	-	-	0	0.63	0.57
Ptch1	-	0	0	0	0	0	0.01	0	0	0.02	0.01	0.03	0.29	0.14	0	0.38	0.35	0.31	0.44	0.47	0.28	0.31	0.28	0.05	0.08	0	0	0
Ptger3	-	0	0.18	0	0	0	0	0	0	0	0	0.59	0.78	0	0.27	0.7	0.53	0.6	0.37	0.68	0.9	0.36	0.57	-	-	0.09	0.03	0.91
Ptges2	-	0.5	0.9	0.83	0.12	0.71	0.54	0.9	0.18	0.01	0	0.37	0.01	0.28	0.77	0.72	0.65	0.99	0.84	0.38	0.83	0.88	0.5	-	-	0.2	0.02	0
Ptges3	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0.7	0.2	0.34	0.25	0.76	0.21	0.24	0.14	0	0	-	-	-
Ptges3l	-	0	0.04	0.01	0.8	0.05	0.3	0.11	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ptgfrn	-	0.78	0	0	0	0	0	0	0	0	0	0	0.03	0.2	0.28	0.41	0.6	0.77	0.64	0.43	0.55	0.97	0.45	0.98	0.84	-	-	-
Ptgir	-	0.12	0.23	0.1	0.58	0.04	0.63	0.1	0.8	0.54	0.25	0.42	0.11	0.02	0	0.41	0.77	0.48	0.46	0.26	0.96	0.84	0.08	-	-	0	0.01	0
Pth1r	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Ptn	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Ptpn13	-	0.36	0.04	0.02	0	0	0.04	0	0	0	0.02	0	0.88	0.98	0.62	0.88	0.9	0.97	0.65	0.85	0.96	0.8	0.97	0	0	0.01	0	0
Ptpn6	-	0.09	0.06	0.11	0.7	0.94	0.33	0.9	0.16	0.16	0.01	0.62	0.57	0.49	0.83	0.97	0.65	0.64	0.9	0.55	0.61	0.9	0.97	0.78	0.56	0	0	0
Ptpru	-	0	0	0	0	0	0	0	0	0	0	0.46	0.7	0.05	0.15	0	0	0	0	0	0	0	0	0.09	0.01	0	0	0
Ptrf	-	0	0	0	0	0.28	0.54	0.3	0	0	0	0	0.01	0.05	0.05	0	0	0	0	0	0	0	0	-	-	0.01	0	0
Purg	-	0	0	0	0	0.96	0.05	0.56	0.17	0	0	0.38	0.37	0.16	0.52	0.35	0.43	0.62	0.88	0.88	0.58	0.86	0.79	0.98	0.36	0.01	0.91	0.3
Pycard	-	0.13	0.27	0.28	0.17	0.15	0.85	0.75	0.26	0.04	0	0.23	0.21	0.72	0.01	0.99	0.83	0.47	0.25	0.4	0.16	0.19	0.27	-	-	0.29	0.01	0.23
Pycr2	-	0.17	0.02	0.08	0.01	0	0.26	0.18	0.69	0	0	0	0	0	0	0.03	0.49	0.64	0.03	0.88	0.03	0.05	0.08	-	-	0.04	0	0
Pygb	-	0.72	0.1	0.02	0	0	0	0	0	0.36	0.45	0.57	0.89	0.34	0.39	0.31	0.73	0.52	0.99	0	0.72	0.24	0	0.74	0.05	0	0	0.3
Qsox2	-	0	0	0.02	0.17	0.99	0.91	0.07	0.21	0.2	0.02	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	-	-	-
Rab11fip4	-	0.09	0.42	0.05	0.28	0.05	0.04	0.01	0.12	0.43	0.13	0.73	0.47	0	0.84	0	0	0	0	0	0	0	0	0.71	0.12	-	-	-
Rab27a	-	0.41	0.3	0.01	0.59	0.69	0.04	0.23	0.64	0.17	0.05	0.11	0.83	0.99	0.58	0.39	0.38	0.28	0.33	0.49	0.28	0.3	0.81	0.06	0.13	0.02	0.82	0.58
