Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a
Zfp398	-	0.94	0.58	0.95	0.01	0.04	0.01	0.1	0.16	0.28	0	0.1	0.03	0.01	0.17	0.63	0.91	0.78	0.96	0.86	0.82	0.71	0.69	0.01	0	0	0	0
Zfp40	-	0	0.02	0	0.62	0	0.02	0	0.47	0.42	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.05	0
Zfp438	-	1	0.46	0.28	0	0.12	0	0.18	0.23	0.08	0	0.33	0.01	0.01	0	0.85	0.66	0.6	0.68	0.74	0.58	1	0.67	0	0	-	-	-
Zfp458	-	0.28	0.79	0.65	0.67	0.03	0.83	0.1	0.8	0.12	0.03	0.02	0.07	0.06	0.12	0.74	0.87	0.83	0.78	0.68	0.33	0.85	0.54	0.38	0.52	-	-	-
Zfp488	-	-	-	-	-	-	-	-	-	-	-	0.57	0.76	0.16	0.39	0.93	0.73	0.81	0.88	0.87	0.93	0.95	0.89	-	-	-	-	-
Zfp536	-	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.8	0.06	0	0	0	0	0.03	0	0	0	-	-	-	-	-
Zfp551	-	0.78	0.46	0.39	0.42	0.37	0.07	0.03	0.02	0	0	0.03	0.2	0.17	0.3	0.65	0.34	0.5	0.33	0.8	0.64	0.41	0.95	-	-	-	-	-
Zfp57	-	0.55	0.32	0.01	0	0	0	0	0	0	0	0.87	0.93	0.1	0.88	0.02	0	0	0	0	0	0	0	-	-	0.27	0.32	0.22
Zfp606	-	0.04	0.02	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0.62	0.74	0.87	0.77	0.92	0.8	0.85	0.99	0	0	-	-	-
Zfp607	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0.04	0.38	0.4	0.3	0.55	0.53	0.65	0.44	0.34	0.11	0.79	-	-	-
Zfp618	-	0.37	0.25	0	0	0	0	0	0	0	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Zfp641	-	-	-	-	-	-	-	-	-	-	-	0.4	0.08	0.09	0.03	0.79	0.49	0.45	0.9	0.37	0.29	0.31	0.2	-	-	-	-	-
Zfp703	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.6	0	0.13
Zfp788	-	0.06	0.15	0.15	0.02	0	0	0	0	0.02	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Zfp799	-	0.05	0	0.01	0.02	0	0.01	0	0	0.06	0.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Zfp811	-	0	0	0	0	0	0	0	0	0	0	0.38	0.29	0.35	0.36	0.21	0.41	0.39	0.31	0.71	0.5	0.58	0.63	-	-	-	-	-
Zfp879	-	0.49	0.42	0.25	0.1	0.09	0.82	0.11	0.2	0	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Zfp945	-	0	0	0	0	0	0.01	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Zfp955b	-	0.98	0.21	0.09	0	0.13	0.04	0.04	0	0.52	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Zfp963	-	0.05	0	0	0	0	0	0	0.03	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Zfpm2	-	0	0	0	0	0	0	0	0	0	0.01	0.11	0	0	0	0.39	0.65	0.74	0.86	0.56	0.82	0.79	0.92	-	-	0	0	0
Zkscan16	-	-	-	-	-	-	-	-	-	-	-	0	0.68	0.6	0.65	0.34	0.62	0.6	0.29	0.7	0.91	0.67	0.71	-	-	-	-	-
Zkscan2	-	-	-	-	-	-	-	-	-	-	-	0.73	0.28	0.78	0.67	0.34	0.94	0.81	0.94	0.49	0.39	0.73	0.74	-	-	-	-	-
Zmat1	-	0	0	0.04	0.48	0.16	0.68	0.04	0.01	0.1	0	0.03	0.04	0.04	0.01	0.68	0.9	0.99	0.85	0.29	0.4	0.47	0.21	-	-	-	-	-
Znf41-ps	-	0.65	0.56	0.61	0.05	0.22	0.17	0.05	0.21	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Znhit1	-	0.39	0.27	0.41	0.71	0.74	0.09	0.7	0.32	0.89	0	0.02	0	0	0	0	0.01	0.01	0	0	0	0	0.06	-	-	0.31	0.06	0.02
